segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Xcent,S 1.2,48618.0,Petrol,Manual,KA-02,349200.0,gt world mall,560023.0,1.0,Red,10.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,YARIS,J MT,149716.0,Petrol,Manual,KA-42,502900.0,gt world mall,560023.0,1.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,KUSHAQ,STYLE 1.0L TSI MT,98136.0,Petrol,Manual,KA-41,842462.0,gt world mall,560023.0,1.0,Red,5.0
Mass Market,S1 Owned,Yes,Bangalore,MG,HECTOR PLUS,SHARP 2.0 DIESEL TURBO MT 6-STR,95370.0,Diesel,Manual,KA-05,1016900.0,gandhi nagar,560009.0,2.0,Red,6.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Ertiga,ZXI,120904.0,Petrol,Manual,KA-05,563687.0,yeswanthpur,560022.0,1.0,Grey,9.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,FRONX,ZETA 1.0 TURBO MT,41988.0,Petrol,Manual,KA-38,733600.0,bellahalli,560064.0,1.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ZETA PETROL 1.2,22418.0,Petrol,Manual,KA-02,748000.0,bellahalli,560064.0,1.0,Blue,2.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZA PLUS SUNROOF DIESEL,116060.0,Diesel,Automatic,KA-04,675400.0,bellahalli,560064.0,2.0,White,6.0
Mass Market,S1 Owned,Yes,Bangalore,Nissan,MAGNITE,XV TURBO CVT,18496.0,Petrol,Automatic,KA-03,588000.0,bellahalli,560064.0,1.0,Brown,5.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,City,1.5L I-VTEC ZX CVT,57657.0,Petrol,Automatic,KA-03,735700.0,bhoruka tech park,560066.0,2.0,Brown,7.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W6 1.2 PETROL,36627.0,Petrol,Manual,KA-05,582700.0,bellahalli,560064.0,1.0,Blue,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Celerio,VXI (O),33992.0,Petrol,Manual,KA-04,353200.0,nexus whitefield,560066.0,1.0,Red,9.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM 1.5L DIESEL,97762.0,Diesel,Manual,KA-02,427800.0,bellahalli,560064.0,2.0,White,11.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Polo,HIGHLINE1.2L,74715.0,Petrol,Manual,KA-51,353800.0,nexus whitefield,560066.0,2.0,Silver,12.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,19693.0,Petrol,Manual,KA-03,483472.0,bellahalli,560064.0,1.0,Silver,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI AMT,45256.0,Petrol,Automatic,KA-04,245800.0,bellahalli,560064.0,1.0,Silver,11.0
Mass Market,S1 Owned,Yes,Bangalore,Nissan,Micra,XL CVT,71635.0,Petrol,Automatic,KA-24,306000.0,bellahalli,560064.0,2.0,Red,10.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX (O) 1.4 TURBO DCT DUAL TONE,63019.0,Petrol,Automatic,KA-53,1255000.0,nexus whitefield,560066.0,1.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,Creta SX (O) 1.5 MPI IVT,9651.0,Petrol,Automatic,KA-03,1800000.0,bellahalli,560064.0,1.0,Red,2.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Ertiga,ZXI,122203.0,Petrol,Manual,KA-01,475300.0,gandhi nagar,560009.0,1.0,Grey,12.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,S Cross,ZETA 1.5,106825.0,Petrol,Manual,KA-16,532200.0,bellahalli,560064.0,1.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,Etios Liva,VX,76996.0,Petrol,Manual,KA-51,534687.0,gandhi nagar,560009.0,2.0,Red,9.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Tiago,XZ PLUS DUAL TONE PETROL,45112.0,Petrol,Manual,KA-12,470000.0,bellahalli,560064.0,2.0,Blue,6.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,23901.0,Petrol,Manual,KA-03,812800.0,bhoruka tech park,560066.0,1.0,Orange,5.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,ASTA 1.2,47559.0,Petrol,Manual,KA-01,456200.0,bellahalli,560064.0,2.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Celerio,ZXI AMT (O),82379.0,Petrol,Automatic,KA-53,304900.0,bellahalli,560064.0,2.0,Blue,10.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Polo,HIGHLINE1.2L,110489.0,Petrol,Manual,KA-01,363900.0,gt world mall,560023.0,2.0,Brown,9.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI AMT,61267.0,Petrol,Automatic,KA-03,253200.0,koramangala,560034.0,2.0,Blue,11.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXL 1.0,64161.0,Petrol,Manual,KA-05,230000.0,bellahalli,560064.0,2.0,Green,9.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,XZ PLUS PETROL SUNROOF,44135.0,Petrol,Manual,KA-50,802194.0,gt world mall,560023.0,1.0,Green,5.0
Mass Market,S1 Owned,Yes,Bangalore,Nissan,Micra,XV CVT,90333.0,Petrol,Automatic,KA-51,258500.0,bhoruka tech park,560066.0,1.0,Red,12.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,NEXON,FEARLESS SUNROOF DUAL TONE 1.2 PETROL,46023.0,Petrol,Manual,KA-02,1055914.0,gandhi nagar,560009.0,1.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Ertiga,VDI,138125.0,Diesel,Manual,KA-05,523800.0,nexus whitefield,560066.0,1.0,Blue,11.0
Mass Market,S1 Owned,Yes,Bangalore,Toyota,Etios Liva,V DUAL TONE,130217.0,Petrol,Manual,KA-53,480000.0,bellahalli,560064.0,1.0,White,7.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,SPORTZ 1.2,30816.0,Petrol,Manual,KA-53,448000.0,gt world mall,560023.0,1.0,Silver,11.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ALPHA PETROL 1.2,99190.0,Petrol,Manual,KA-04,605478.0,bhoruka tech park,560066.0,1.0,Grey,4.0
