brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
maruti suzuki,ignis,zeta 1.2 amt,whitefield,ka-51,petrol,automatic,dealer,blue,9.0,67500.0,7500.0,1,1.0,560066.0,473000.0
maruti suzuki,ciaz,alpha 1.5,bannerghatta,ka-50,petrol,manual,dealer,red,2.0,30000.0,15000.0,1,1.0,560076.0,902000.0
hyundai,grand i10,sportz 1.2 kappa vtvt dual tone,whitefield,ka-51,petrol,manual,dealer,white,7.0,55500.0,7928.6,1,1.0,560066.0,503000.0
maruti suzuki,dzire,vxi amt,whitefield,ka-51,petrol,automatic,dealer,blue,8.0,79000.0,9875.0,1,0.0,560066.0,522000.0
maruti suzuki,ciaz,zxi,whitefield,ka-01,petrol,manual,dealer,red,10.0,47500.0,4750.0,2,1.0,560066.0,520000.0
tata,altroz,xz petrol,whitefield,ka-22,petrol,manual,dealer,white,5.0,120000.0,24000.0,1,0.0,560066.0,549000.0
nissan,magnite,xv turbo cvt,whitefield,ka-03,petrol,automatic,dealer,silver,4.0,49500.0,12375.0,1,1.0,560066.0,675000.0
kia,seltos,htx 1.5 petrol ivt,hebbal,ka-04,petrol,automatic,dealer,red,2.0,15000.0,7500.0,1,1.0,562157.0,1525000.0
renault,triber,rxz easy-r amt,whitefield,ka-02,petrol,automatic,dealer,silver,5.0,50000.0,10000.0,1,1.0,560066.0,562000.0
honda,amaze,vx mt 1.2 petrol,hebbal,ka-03,petrol,manual,dealer,grey,3.0,40000.0,13333.3,1,1.0,562157.0,730000.0
hyundai,elite i20,asta 1.2 (o) cvt,bannerghatta,ka-53,petrol,automatic,dealer,red,7.0,68500.0,9785.7,3,0.0,560076.0,588000.0
tata,altroz,xz plus i-turbo petrol,whitefield,ka-22,petrol,manual,dealer,grey,5.0,25500.0,5100.0,1,1.0,560066.0,687000.0
hyundai,grand i10,asta 1.2 kappa vtvt (o),whitefield,ka-01,petrol,manual,dealer,orange,10.0,32500.0,3250.0,2,0.0,560066.0,407000.0
hyundai,eon,era +,bannerghatta,hr-26,petrol,manual,dealer,red,13.0,59000.0,4538.5,2,0.0,560076.0,186000.0
ford,ecosport,trend + 1.5l ti-vct at,bannerghatta,ka-05,petrol,automatic,dealer,brown,8.0,68000.0,8500.0,3,0.0,560076.0,564000.0
maruti suzuki,baleno,alpha ags,whitefield,ka-01,petrol,automatic,dealer,blue,1.0,12000.0,12000.0,1,1.0,560066.0,933000.0
volkswagen,polo,highline1.2l (p),hebbal,ka-51,petrol,manual,dealer,silver,11.0,111000.0,10090.9,3,0.0,562157.0,398000.0
maruti suzuki,alto k10,vxi amt,whitefield,ka-03,petrol,automatic,dealer,grey,10.0,66500.0,6650.0,1,1.0,560066.0,320000.0
renault,kwid,rxt 1.0 amt,bannerghatta,ka-03,petrol,automatic,dealer,white,4.0,40500.0,10125.0,1,1.0,560076.0,459000.0
honda,amaze,1.2 s i-vtec,hebbal,hr-26,petrol,manual,dealer,silver,13.0,82000.0,6307.7,2,0.0,562157.0,294000.0
renault,kwid,climber 1.0 amt,mysore road,ka-01,petrol,automatic,dealer,blue,9.0,38000.0,4222.2,1,1.0,560039.0,342000.0
hyundai,elite i20,asta 1.2 (o),bannerghatta,ka-02,petrol,manual,dealer,red,9.0,85500.0,9500.0,1,1.0,560076.0,546000.0
ford,ecosport,titanium 1.0 ecoboost,mysore road,ka-53,petrol,manual,dealer,white,11.0,74500.0,6772.7,2,0.0,560039.0,398000.0
datsun,redi-go,t(o) 1.0 amt,whitefield,ka-04,petrol,automatic,dealer,silver,8.0,22000.0,2750.0,3,0.0,560066.0,243000.0
maruti suzuki,ertiga,vdi 1.3 diesel,malleshwaram,ka-03,diesel,manual,dealer,silver,7.0,50000.0,7142.9,3,0.0,560003.0,880000.0
tata,punch,creative dual tone amt,whitefield,ka-25,petrol,automatic,dealer,white,4.0,36500.0,9125.0,1,1.0,560066.0,730000.0
maruti suzuki,wagon r,lxi,whitefield,hr-26,petrol,manual,dealer,silver,13.0,31500.0,2423.1,1,0.0,560066.0,265000.0
datsun,go,remix edition,malleshwaram,ka-51,petrol,manual,dealer,white,8.0,60500.0,7562.5,2,0.0,560003.0,255000.0
tata,nexon,fearless plus (ps) 1.5 diesel 6amt dual tone,hebbal,ka-04,diesel,automatic,dealer,white,1.0,9500.0,9500.0,1,1.0,562157.0,1461000.0
ford,ecosport,titanium+ 1.0l ecoboost,bannerghatta,ka-01,petrol,manual,dealer,grey,10.0,104500.0,10450.0,1,0.0,560076.0,489000.0
