city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2020.0,Ford,Ecosport,TITANIUM + 1.5L PETROL AT,45944.0,Petrol,Automatic,KA-01,686000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2017.0,Maruti Suzuki,Vitara Brezza,ZDI PLUS,79489.0,Diesel,Manual,KA-17,680000.0,Mass Market,Direct Seller,hunasamaranahalli,562157.0,9.0
Bangalore,2017.0,Renault,Kwid,RXT 1.0 AMT,72069.0,Petrol,Automatic,KA-05,247000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2015.0,Hyundai,i10,MAGNA 1.1,36440.0,Petrol,Manual,KA-51,250000.0,Mass Market,Direct Seller,bellahalli,560066.0,11.0
Bangalore,2023.0,Hyundai,EXTER,SX(O) CONNECT 1.2 AMT,52517.0,Petrol,Automatic,KA-19,769000.0,Mass Market,Direct Seller,bellahalli,560064.0,3.0
Bangalore,2016.0,Hyundai,Elite i20,ASTA 1.2,83444.0,Petrol,Manual,KA-01,468000.0,Mass Market,Direct Seller,bellahalli,560066.0,10.0
Bangalore,2016.0,Tata,Zest,XT 90PS DIESEL,52419.0,Diesel,Manual,KA-29,353000.0,Mass Market,Direct Seller,vega city mall,560066.0,10.0
Bangalore,2019.0,Renault,Kwid,RXT 1.0 (O),57054.0,Petrol,Manual,KA-01,316000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2018.0,Hyundai,Creta,SX AT 1.6 PETROL,82761.0,Petrol,Automatic,KA-02,740000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2015.0,Maruti Suzuki,Alto K10,LXI,66666.0,Petrol,Manual,KA-51,190000.0,Mass Market,Direct Seller,bellahalli,560066.0,11.0
Bangalore,2016.0,Maruti Suzuki,Ciaz,ZDI+ SHVS RS,95428.0,Diesel,Manual,KA-25,465000.0,Mass Market,Direct Seller,bellahalli,560066.0,10.0
Bangalore,2021.0,Tata,NEXON,XZA PLUS (O) DIESEL,68539.0,Diesel,Automatic,KA-44,873000.0,Mass Market,Direct Seller,gandhi nagar,560009.0,5.0
Bangalore,2015.0,Skoda,Rapid,1.5 TDI CR ELEGANCE AT,94541.0,Diesel,Automatic,KA-63,329000.0,Mass Market,Direct Seller,whitefield,560066.0,11.0
Bangalore,2015.0,Honda,City,1.5L I-VTEC VX,119166.0,Petrol,Manual,KA-03,512000.0,Mass Market,Direct Seller,bellahalli,560066.0,11.0
Bangalore,2023.0,Volkswagen,VIRTUS,GT PLUS TSI 1.5 EVO DSG,49689.0,Petrol,Automatic,KA-52,1445000.0,Mass Market,Direct Seller,hunasamaranahalli,560066.0,3.0
Bangalore,2018.0,Maruti Suzuki,Ertiga,ZXI+,48250.0,Petrol,Manual,KA-04,738000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2023.0,Tata,Safari,XZA PLUS O 6STR,17805.0,Diesel,Automatic,KA-34,1930000.0,Mass Market,Direct Seller,bellahalli,560064.0,3.0
Bangalore,2022.0,Mahindra,Thar,LX PETROL HT 4WD AT,28370.0,Petrol,Automatic,KA-05,1199000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2019.0,Volkswagen,Vento,HIGHLINE PLUS 1.2 AT 16 ALLOY,89842.0,Petrol,Automatic,KA-04,591000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2023.0,Toyota,URBAN CRUISER HYRYDER,V HYBRID,82201.0,Hybrid,Automatic,KA-03,1399000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2019.0,Maruti Suzuki,Baleno,ZETA DIESEL 1.3,123468.0,Diesel,Manual,KA-10,571000.0,Mass Market,Direct Seller,yeswanthpur,560022.0,7.0
Bangalore,2021.0,Nissan,MAGNITE,XL,69890.0,Petrol,Manual,KA-03,443000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2012.0,Honda,Brio,S MT,67287.0,Petrol,Manual,KA-04,207000.0,Mass Market,Direct Seller,bellahalli,560066.0,14.0
Bangalore,2021.0,MG,HECTOR,SHARP 1.5 PETROL CVT,41702.0,Petrol,Automatic,KA-51,1097000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2022.0,Skoda,KUSHAQ,STYLE 1.0L TSI MT,46845.0,Petrol,Manual,KA-01,939000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2022.0,Tata,TIGOR,XZA PLUS PETROL,58683.0,Petrol,Automatic,KA-20,524000.0,Mass Market,Direct Seller,bellahalli,560064.0,4.0
Bangalore,2021.0,Jeep,Compass,SPORT 1.4 PETROL,46743.0,Petrol,Manual,KA-03,1077000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2023.0,Maruti Suzuki,Grand Vitara,ZETA SMART HYBRID,75975.0,Petrol,Manual,KA-35,1046000.0,Mass Market,Direct Seller,bellahalli,560064.0,3.0
Bangalore,2020.0,Datsun,Redi Go,T (O),63791.0,Petrol,Manual,KA-68,209000.0,Mass Market,Direct Seller,bhoruka tech park,560066.0,6.0
Bangalore,2021.0,Hyundai,NEW I20,Asta (O) 1.0 Turbo DCT Dual Tone,58948.0,Petrol,Automatic,KA-47,840000.0,Mass Market,Direct Seller,bhoruka tech park,560066.0,5.0
