brand,model,vehicle_age,odometer_reading,fuel_type,transmission,segment_class,selling_price
maruti suzuki,ignis,8.0,56864.0,petrol,automatic,economy,480000.0
kia,seltos,7.0,38320.0,petrol,automatic,economy,960000.0
mahindra,xuv300,6.0,64000.0,petrol,manual,economy,800000.0
volkswagen,polo,9.0,51734.0,petrol,manual,economy,453000.0
tata,nano,12.0,105000.0,petrol,manual,economy,147000.0
toyota,urban cruiser hyryder,3.0,63492.0,petrol,automatic,economy,1500000.0
maruti suzuki,swift dzire,13.0,53427.0,diesel,manual,economy,500000.0
toyota,innova crysta,9.0,204574.0,diesel,manual,economy,1250000.0
ford,classic,13.0,99421.0,diesel,manual,premium,264947.0
honda,city,12.0,63846.0,petrol,manual,economy,549000.0
hyundai,i10,15.0,154000.0,petrol,manual,economy,145000.0
